21:20:29 -> INFO: Archivo de carga de escena de lua correctamente inicializado
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:31 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:32 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:33 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:34 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:35 -> WARN: trying to move a static rigidBody will result in nothig
21:20:36 -> WARN: trying to move a static rigidBody will result in nothig
21:20:36 -> WARN: trying to move a static rigidBody will result in nothig
21:20:36 -> WARN: trying to move a static rigidBody will result in nothig
21:20:36 -> WARN: trying to move a static rigidBody will result in nothig
